archive_path	file_stem	resolved_isolate_id	resolution_method	matches_wgs
csv_median/721901_18_B1.csv	721901_18_B1	721901-18	numeric_tgnr	True
csv_median/2019_02_21T14_01_57_E2_2.csv	2019_02_21T14_01_57_E2_2	2019-02-21T14-01-57	unmapped_other	False
csv_median/deca27f0_5167_44f4_a7bd_9cb4e6ed8674_C3.csv	deca27f0_5167_44f4_a7bd_9cb4e6ed8674_C3	713440-18	uuid_mapped	True
csv_median/720636_18_B8.csv	720636_18_B8	720636-18	numeric_tgnr	True
csv_median/717194_18_A9.csv	717194_18_A9	717194-18	numeric_tgnr	True
csv_median/721757_18_H7.csv	721757_18_H7	721757-18	numeric_tgnr	True
csv_median/721990_18_E7_2.csv	721990_18_E7_2	721990-18	numeric_tgnr	True
csv_median/138432_18_G2.csv	138432_18_G2	138432-18	numeric_tgnr	True
csv_median/720970_18_C2.csv	720970_18_C2	720970-18	numeric_tgnr	True
csv_median/721001_18_H1.csv	721001_18_H1	721001-18	numeric_tgnr	True
csv_median/611445_18_C2.csv	611445_18_C2	611445-18	numeric_tgnr	True
csv_median/720232_18_D2.csv	720232_18_D2	720232-18	numeric_tgnr	True
csv_median/712190_18_A9.csv	712190_18_A9	712190-18	numeric_tgnr	True
csv_median/708938_18_G2.csv	708938_18_G2	708938-18	numeric_tgnr	True
csv_median/720100_18_F11.csv	720100_18_F11	720100-18	numeric_tgnr	True
csv_median/2019_02_21T13_13_10_E2_8.csv	2019_02_21T13_13_10_E2_8	2019-02-21T13-13-10	unmapped_other	False
csv_median/720573_18_G4.csv	720573_18_G4	720573-18	numeric_tgnr	True
csv_median/721943_18_A11.csv	721943_18_A11	721943-18	numeric_tgnr	True
csv_median/BTS_Validation_E3_04.csv	BTS_Validation_E3_04	BTS-Validation	unmapped_other	False
csv_median/717614_18_D7.csv	717614_18_D7	717614-18	numeric_tgnr	True
csv_median/722011_18_G2.csv	722011_18_G2	722011-18	numeric_tgnr	True
csv_median/102916_19_E5.csv	102916_19_E5	102916-19	numeric_tgnr	True
csv_median/a33699f9_c37f_429c_bdcc_735481a0d569_E7.csv	a33699f9_c37f_429c_bdcc_735481a0d569_E7	714140-18	uuid_mapped	True
csv_median/120569_18_B7.csv	120569_18_B7	120569-18	numeric_tgnr	True
csv_median/132418_18_B3.csv	132418_18_B3	132418-18	numeric_tgnr	True
csv_median/123972_18_B6.csv	123972_18_B6	123972-18	numeric_tgnr	True
csv_median/720857_18_F6.csv	720857_18_F6	720857-18	numeric_tgnr	True
csv_median/717604_18_A1.csv	717604_18_A1	717604-18	numeric_tgnr	True
csv_median/117315_18_G8.csv	117315_18_G8	117315-18	numeric_tgnr	True
csv_median/139019_18_A8.csv	139019_18_A8	139019-18	numeric_tgnr	True
csv_median/721680_18_E5.csv	721680_18_E5	721680-18	numeric_tgnr	True
csv_median/720602_18_C9.csv	720602_18_C9	720602-18	numeric_tgnr	True
csv_median/720299_18_B12.csv	720299_18_B12	720299-18	numeric_tgnr	True
csv_median/715212_18_B3.csv	715212_18_B3	715212-18	numeric_tgnr	True
csv_median/721672_18_A1.csv	721672_18_A1	721672-18	numeric_tgnr	True
csv_median/719455_18_G12.csv	719455_18_G12	719455-18	numeric_tgnr	True
csv_median/611445_18_C4_1.csv	611445_18_C4_1	611445-18	numeric_tgnr	True
csv_median/721719_18_D11.csv	721719_18_D11	721719-18	numeric_tgnr	True
csv_median/720012_18_C3.csv	720012_18_C3	720012-18	numeric_tgnr	True
csv_median/2019_02_21T14_31_54_E1_3.csv	2019_02_21T14_31_54_E1_3	2019-02-21T14-31-54	unmapped_other	False
csv_median/720508_18_B8.csv	720508_18_B8	720508-18	numeric_tgnr	True
csv_median/145816_18_B2_2.csv	145816_18_B2_2	145816-18	numeric_tgnr	True
csv_median/125398_18_G8.csv	125398_18_G8	125398-18	numeric_tgnr	True
csv_median/720711_18_E6.csv	720711_18_E6	720711-18	numeric_tgnr	True
csv_median/719819_18_C12.csv	719819_18_C12	719819-18	numeric_tgnr	True
csv_median/56e1d35e_faaa_4548_972f_801985cded36_B3.csv	56e1d35e_faaa_4548_972f_801985cded36_B3	713751-18	uuid_mapped	True
csv_median/721930_18_B8.csv	721930_18_B8	721930-18	numeric_tgnr	True
csv_median/147404_18_E6.csv	147404_18_E6	147404-18	numeric_tgnr	True
csv_median/717614_18_D5.csv	717614_18_D5	717614-18	numeric_tgnr	True
csv_median/718360_18_A12.csv	718360_18_A12	718360-18	numeric_tgnr	True
csv_median/721641_18_B11.csv	721641_18_B11	721641-18	numeric_tgnr	True
csv_median/721930_18_B6.csv	721930_18_B6	721930-18	numeric_tgnr	True
csv_median/117670_18_D10.csv	117670_18_D10	117670-18	numeric_tgnr	True
csv_median/721440_18_B1.csv	721440_18_B1	721440-18	numeric_tgnr	True
csv_median/134321_18_A2.csv	134321_18_A2	134321-18	numeric_tgnr	True
csv_median/720970_18_C4.csv	720970_18_C4	720970-18	numeric_tgnr	True
csv_median/719925_18_C10.csv	719925_18_C10	719925-18	numeric_tgnr	True
csv_median/721513_18_E9.csv	721513_18_E9	721513-18	numeric_tgnr	True
csv_median/700398_19_B4.csv	700398_19_B4	700398-19	numeric_tgnr	True
csv_median/721547_18_D8.csv	721547_18_D8	721547-18	numeric_tgnr	True
csv_median/706907_18_H6.csv	706907_18_H6	706907-18	numeric_tgnr	True
csv_median/129347_18_G3.csv	129347_18_G3	129347-18	numeric_tgnr	True
csv_median/721950_18_G10.csv	721950_18_G10	721950-18	numeric_tgnr	True
csv_median/2019_02_21T14_31_54_E1_1.csv	2019_02_21T14_31_54_E1_1	2019-02-21T14-31-54	unmapped_other	False
csv_median/117243_18_E5.csv	117243_18_E5	117243-18	numeric_tgnr	True
csv_median/721950_18_G12.csv	721950_18_G12	721950-18	numeric_tgnr	True
csv_median/712246_18_B3.csv	712246_18_B3	712246-18	numeric_tgnr	True
csv_median/721669_18_A7.csv	721669_18_A7	721669-18	numeric_tgnr	True
csv_median/135499_18_C1.csv	135499_18_C1	135499-18	numeric_tgnr	True
csv_median/143362_18_A4.csv	143362_18_A4	143362-18	numeric_tgnr	True
