threshold,site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
10,DRIAMS-C,Escherichia coli,Cefepime,0.6482479303454182,nan,nan,0.3005193196517142,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,609,113,0,0,0,10,10,False
10,DRIAMS-C,Escherichia coli,Ceftazidime,0.6092561581424067,nan,nan,0.23266700229192278,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,908,139,0,0,0,10,10,False
10,DRIAMS-C,Escherichia coli,Ceftriaxone,0.6232997703585939,nan,nan,0.2856466513286074,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,913,148,0,0,0,10,10,False
10,DRIAMS-C,Escherichia coli,Ciprofloxacin,0.749893312198988,nan,nan,0.5559061881929316,0.6541767687899493,nan,nan,0.21556186116261125,0.6560135184777018,nan,nan,0.6718530978413232,7134,nan,nan,nan,0.43792325056433407,interpretable,focal_signal_retained,886,188,388,39,2,10,10,False
10,DRIAMS-C,Escherichia coli,Norfloxacin,0.7786932412638627,nan,nan,0.6672425996935545,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,442,118,0,0,0,10,10,False
10,DRIAMS-D,Escherichia coli,Amoxicillin-Clavulanic acid,0.5567214707204269,nan,nan,0.249455098662542,0.5535249940901569,nan,nan,0.22824990757568453,0.49184668957867367,nan,nan,0.4710778093533337,207263,nan,nan,nan,0.9378134403209629,interpretable,weak_raw_signal,1994,332,1870,276,5,10,10,False
10,DRIAMS-D,Escherichia coli,Cefepime,0.7687533912099838,nan,nan,0.2750158301030471,0.6,nan,nan,0.7238288683940859,0.6,nan,nan,0.6,150,nan,nan,nan,0.013000520020800831,caution_low_n_matched_and_low_retention,caution_low_matched_support,1923,80,25,15,1,10,10,False
10,DRIAMS-D,Escherichia coli,Ceftazidime,0.7273743641343843,nan,nan,0.33218932013741503,0.726010101010101,nan,nan,0.22341515591375535,0.726010101010101,nan,nan,0.726010101010101,1584,nan,nan,nan,0.07800704579768496,caution_low_retention,caution_low_matched_support,1987,178,155,11,1,10,10,False
10,DRIAMS-D,Escherichia coli,Ceftriaxone,0.7258104429596635,nan,nan,0.3626331674094014,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,1994,198,0,0,0,10,10,False
10,DRIAMS-D,Escherichia coli,Ciprofloxacin,0.6705659689751912,nan,nan,0.36860511659183787,0.6124577399856572,nan,nan,0.19122910090592155,0.6131280460140208,nan,nan,0.6157018520392673,237144,nan,nan,nan,0.8932439401753481,interpretable,focal_signal_retained,1939,371,1732,227,2,10,10,False
